row_id,variant_id,base_model,model,rating,label,iteration,timestamp,raw_response
llama-pro_generalist_00_20250617_185210,llama-pro_generalist,llama-pro,generalist,3,Feasible,0,20250617_185210,"3 - Feasible
"
llama-pro_generalist2_00_20250617_185210,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,0,20250617_185210,"3 - Feasible
"
llama-pro_normative_00_20250617_185210,llama-pro_normative,llama-pro,normative,3,Feasible,0,20250617_185210,"5 - Highly feasible
"
llama-pro_normative2_00_20250617_185210,llama-pro_normative2,llama-pro,normative2,3,Feasible,0,20250617_185210,"3 - Feasible
"
llama-pro_subject_matter_00_20250617_185210,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,0,20250617_185210,"5 - Highly feasible
"
llama-pro_subject_matter2_00_20250617_185210,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,0,20250617_185210,"3 - Feasible
"
llama-pro_generalist_01_20250617_185251,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,1,20250617_185251,"2 - Somewhat feasible
"
llama-pro_generalist2_01_20250617_185251,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,1,20250617_185251,"4 - Very feasible
"
llama-pro_normative_01_20250617_185251,llama-pro_normative,llama-pro,normative,3,Feasible,1,20250617_185251,"3 - Feasible
"
llama-pro_normative2_01_20250617_185251,llama-pro_normative2,llama-pro,normative2,3,Feasible,1,20250617_185251,"3 - Feasible
"
llama-pro_subject_matter_01_20250617_185251,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,1,20250617_185251,"3 - Feasible
"
llama-pro_subject_matter2_01_20250617_185251,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,1,20250617_185251,"3 - Feasible
"
llama-pro_generalist_02_20250617_185320,llama-pro_generalist,llama-pro,generalist,3,Feasible,2,20250617_185320,"3 - Feasible
"
llama-pro_generalist2_02_20250617_185320,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,2,20250617_185320,"2 - Somewhat feasible
"
llama-pro_normative_02_20250617_185320,llama-pro_normative,llama-pro,normative,3,Feasible,2,20250617_185320,"5 - Extremely feasible
"
llama-pro_normative2_02_20250617_185320,llama-pro_normative2,llama-pro,normative2,4,Very feasible,2,20250617_185320,"5 - Very feasible
"
llama-pro_subject_matter_02_20250617_185320,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,2,20250617_185320,"5 - Very feasible
"
llama-pro_subject_matter2_02_20250617_185320,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,2,20250617_185320,"3 - Feasible
"
llama-pro_generalist_03_20250617_185431,llama-pro_generalist,llama-pro,generalist,4,Very feasible,3,20250617_185431,"4 - Very feasible
"
llama-pro_generalist2_03_20250617_185431,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,3,20250617_185431,"3 - Feasible
"
llama-pro_normative_03_20250617_185431,llama-pro_normative,llama-pro,normative,3,Feasible,3,20250617_185431,"3 - Feasible
"
llama-pro_normative2_03_20250617_185431,llama-pro_normative2,llama-pro,normative2,3,Feasible,3,20250617_185431,"5 - Highly feasible
"
llama-pro_subject_matter_03_20250617_185431,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,3,20250617_185431,"3 - Feasible
"
llama-pro_subject_matter2_03_20250617_185431,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,3,20250617_185431,"3 - Feasible
"
llama-pro_generalist_04_20250617_190229,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,4,20250617_190229,"2 - Somewhat feasible
"
llama-pro_generalist2_04_20250617_190229,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,4,20250617_190229,"3 - Feasible
"
llama-pro_normative_04_20250617_190229,llama-pro_normative,llama-pro,normative,4,Very feasible,4,20250617_190229,"4 - Very feasible
"
llama-pro_normative2_04_20250617_190229,llama-pro_normative2,llama-pro,normative2,3,Feasible,4,20250617_190229,"3 - Feasible
"
llama-pro_subject_matter_04_20250617_190229,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,4,20250617_190229,"2 - Somewhat feasible
"
llama-pro_subject_matter2_04_20250617_190229,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,4,20250617_190229,"3 - Feasible
"
llama-pro_generalist_05_20250617_190254,llama-pro_generalist,llama-pro,generalist,3,Feasible,5,20250617_190254,"5 - Highly feasible
"
llama-pro_generalist2_05_20250617_190254,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,5,20250617_190254,"4 - Very feasible
"
llama-pro_normative_05_20250617_190254,llama-pro_normative,llama-pro,normative,3,Feasible,5,20250617_190254,"3 - Feasible
"
llama-pro_normative2_05_20250617_190254,llama-pro_normative2,llama-pro,normative2,3,Feasible,5,20250617_190254,"5 - Highly feasible
"
llama-pro_subject_matter_05_20250617_190254,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,5,20250617_190254,"3 - Feasible
"
llama-pro_subject_matter2_05_20250617_190254,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,5,20250617_190254,"5 - Very feasible
"
llama-pro_generalist_06_20250617_190315,llama-pro_generalist,llama-pro,generalist,4,Very feasible,6,20250617_190315,"4 - Very feasible
"
llama-pro_generalist2_06_20250617_190315,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,6,20250617_190315,"2 - Somewhat feasible
"
llama-pro_normative_06_20250617_190315,llama-pro_normative,llama-pro,normative,4,Very feasible,6,20250617_190315,"4 - Very feasible
"
llama-pro_normative2_06_20250617_190315,llama-pro_normative2,llama-pro,normative2,3,Feasible,6,20250617_190315,"3 - Feasible
"
llama-pro_subject_matter_06_20250617_190315,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,6,20250617_190315,"4 - Very feasible
"
llama-pro_subject_matter2_06_20250617_190315,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,6,20250617_190315,"4 - Very feasible
"
llama-pro_generalist_07_20250617_190335,llama-pro_generalist,llama-pro,generalist,3,Feasible,7,20250617_190335,"5 - Extremely feasible
"
llama-pro_generalist2_07_20250617_190335,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,7,20250617_190335,"3 - Feasible
"
llama-pro_normative_07_20250617_190335,llama-pro_normative,llama-pro,normative,3,Feasible,7,20250617_190335,"5 - Highly feasible
"
llama-pro_normative2_07_20250617_190335,llama-pro_normative2,llama-pro,normative2,3,Feasible,7,20250617_190335,"3 - Feasible
"
llama-pro_subject_matter_07_20250617_190335,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,7,20250617_190335,"3 - Feasible
"
llama-pro_subject_matter2_07_20250617_190335,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,7,20250617_190335,"4 - Very feasible
"
llama-pro_generalist_08_20250617_190653,llama-pro_generalist,llama-pro,generalist,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_generalist2_08_20250617_190653,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_normative_08_20250617_190653,llama-pro_normative,llama-pro,normative,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_normative2_08_20250617_190653,llama-pro_normative2,llama-pro,normative2,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_subject_matter_08_20250617_190653,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_subject_matter2_08_20250617_190653,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,8,20250617_190653,"3 - Feasible
"
llama-pro_generalist_09_20250617_190735,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,9,20250617_190735,"2 - Somewhat feasible
"
llama-pro_generalist2_09_20250617_190735,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,9,20250617_190735,"3 - Feasible
"
llama-pro_normative_09_20250617_190735,llama-pro_normative,llama-pro,normative,3,Feasible,9,20250617_190735,"5 - Highly feasible
"
llama-pro_normative2_09_20250617_190735,llama-pro_normative2,llama-pro,normative2,3,Feasible,9,20250617_190735,"3 - Feasible
"
llama-pro_subject_matter_09_20250617_190735,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,9,20250617_190735,"2 - Somewhat feasible
"
llama-pro_subject_matter2_09_20250617_190735,llama-pro_subject_matter2,llama-pro,subject_matter2,2,Somewhat feasible,9,20250617_190735,"2 - Somewhat feasible
"
llama-pro_generalist_10_20250617_190852,llama-pro_generalist,llama-pro,generalist,1,Not feasible,10,20250617_190852,"1 - Not feasible
"
llama-pro_generalist2_10_20250617_190852,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,10,20250617_190852,"3 - Feasible
"
llama-pro_normative_10_20250617_190852,llama-pro_normative,llama-pro,normative,3,Feasible,10,20250617_190852,"6 - Feasible
"
llama-pro_normative2_10_20250617_190852,llama-pro_normative2,llama-pro,normative2,1,Not feasible,10,20250617_190852,"1 - Not feasible
"
llama-pro_subject_matter_10_20250617_190852,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,10,20250617_190852,"3 - Feasible
"
llama-pro_subject_matter2_10_20250617_190852,llama-pro_subject_matter2,llama-pro,subject_matter2,1,Not feasible,10,20250617_190852,"1 - Not feasible
"
llama-pro_generalist_11_20250617_190911,llama-pro_generalist,llama-pro,generalist,3,Feasible,11,20250617_190911,"3 - Feasible
"
llama-pro_generalist2_11_20250617_190911,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,11,20250617_190911,"3 - Feasible
"
llama-pro_normative_11_20250617_190911,llama-pro_normative,llama-pro,normative,3,Feasible,11,20250617_190911,"5 - Highly feasible
"
llama-pro_normative2_11_20250617_190911,llama-pro_normative2,llama-pro,normative2,3,Feasible,11,20250617_190911,"3 - Feasible
"
llama-pro_subject_matter_11_20250617_190911,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,11,20250617_190911,"5 - Extremely feasible
"
llama-pro_subject_matter2_11_20250617_190911,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,11,20250617_190911,"3 - Feasible
"
llama-pro_generalist_12_20250617_190930,llama-pro_generalist,llama-pro,generalist,3,Feasible,12,20250617_190930,"3 - Feasible
"
llama-pro_generalist2_12_20250617_190930,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,12,20250617_190930,"2 - Somewhat feasible
"
llama-pro_normative_12_20250617_190930,llama-pro_normative,llama-pro,normative,4,Very feasible,12,20250617_190930,"4 - Very feasible
"
llama-pro_normative2_12_20250617_190930,llama-pro_normative2,llama-pro,normative2,3,Feasible,12,20250617_190930,"5 - Highly feasible
"
llama-pro_subject_matter_12_20250617_190930,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,12,20250617_190930,"3 - Feasible
"
llama-pro_subject_matter2_12_20250617_190930,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,12,20250617_190930,"3 - Feasible
"
llama-pro_generalist_13_20250617_190949,llama-pro_generalist,llama-pro,generalist,4,Very feasible,13,20250617_190949,"4 - Very feasible
"
llama-pro_generalist2_13_20250617_190949,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,13,20250617_190949,"3 - Feasible
"
llama-pro_normative_13_20250617_190949,llama-pro_normative,llama-pro,normative,3,Feasible,13,20250617_190949,"3 - Feasible
"
