row_id,source,base_model,variant_id,model,dc_solution,rating,label,condition,iteration,timestamp
phi4_generalist_00_20250802_002700,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_generalist2_00_20250802_002700,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_normative_00_20250802_002700,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_normative2_00_20250802_002700,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_subject_matter_00_20250802_002700,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_subject_matter2_00_20250802_002700,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,0.0,20250802_002700
phi4_generalist_01_20250802_003059,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_generalist2_01_20250802_003059,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_normative_01_20250802_003059,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_normative2_01_20250802_003059,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_subject_matter_01_20250802_003059,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_subject_matter2_01_20250802_003059,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,1.0,20250802_003059
phi4_generalist_02_20250802_003302,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_generalist2_02_20250802_003302,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_normative_02_20250802_003302,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_normative2_02_20250802_003302,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_subject_matter_02_20250802_003302,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_subject_matter2_02_20250802_003302,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,2.0,20250802_003302
phi4_generalist_03_20250802_003634,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_generalist2_03_20250802_003634,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_normative_03_20250802_003634,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_normative2_03_20250802_003634,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_subject_matter_03_20250802_003634,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_subject_matter2_03_20250802_003634,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,3.0,20250802_003634
phi4_generalist_04_20250802_005601,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_generalist2_04_20250802_005601,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_normative_04_20250802_005601,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_normative2_04_20250802_005601,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_subject_matter_04_20250802_005601,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_subject_matter2_04_20250802_005601,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,4.0,20250802_005601
phi4_generalist_05_20250802_010219,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_generalist2_05_20250802_010219,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_normative_05_20250802_010219,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_normative2_05_20250802_010219,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_subject_matter_05_20250802_010219,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_subject_matter2_05_20250802_010219,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,5.0,20250802_010219
phi4_generalist_06_20250802_104417,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_generalist2_06_20250802_104417,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_normative_06_20250802_104417,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_normative2_06_20250802_104417,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_subject_matter_06_20250802_104417,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_subject_matter2_06_20250802_104417,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,6.0,20250802_104417
phi4_generalist_07_20250802_105252,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_generalist2_07_20250802_105252,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_normative_07_20250802_105252,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_normative2_07_20250802_105252,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_subject_matter_07_20250802_105252,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_subject_matter2_07_20250802_105252,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,7.0,20250802_105252
phi4_generalist_08_20250802_110619,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_generalist2_08_20250802_110619,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_normative_08_20250802_110619,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_normative2_08_20250802_110619,llm,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_subject_matter_08_20250802_110619,llm,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_subject_matter2_08_20250802_110619,llm,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,CONTEXT,8.0,20250802_110619
phi4_generalist_09_20250802_111129,llm,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,CONTEXT,9.0,20250802_111129
phi4_generalist2_09_20250802_111129,llm,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,CONTEXT,9.0,20250802_111129
phi4_normative_09_20250802_111129,llm,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,CONTEXT,9.0,20250802_111129
