row_id,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp,condition,bias_type,anchor_level,source
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist2_00_20250815_022140,gemma3,gemma3_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist_00_20250815_022140,gemma3,gemma3_generalist,generalist,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative2_00_20250815_022140,gemma3,gemma3_normative2,normative2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative_00_20250815_022140,gemma3,gemma3_normative,normative,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter2_00_20250815_022140,gemma3,gemma3_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter_00_20250815_022140,gemma3,gemma3_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist2_00_20250815_022140,llama,llama_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist_00_20250815_022140,llama,llama_generalist,generalist,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative2_00_20250815_022140,llama,llama_normative2,normative2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative_00_20250815_022140,llama,llama_normative,normative,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
