row_id,variant_id,base_model,model,rating,label,iteration,timestamp
phi4_generalist_00_20250731_172408,phi4_generalist,phi4,generalist,3,Feasible,0,20250731_172408
phi4_generalist2_00_20250731_172408,phi4_generalist2,phi4,generalist2,3,Feasible,0,20250731_172408
phi4_normative_00_20250731_172408,phi4_normative,phi4,normative,3,Feasible,0,20250731_172408
phi4_normative2_00_20250731_172408,phi4_normative2,phi4,normative2,3,Feasible,0,20250731_172408
phi4_subject_matter_00_20250731_172408,phi4_subject_matter,phi4,subject_matter,3,Feasible,0,20250731_172408
phi4_subject_matter2_00_20250731_172408,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,0,20250731_172408
phi4_generalist_01_20250731_172526,phi4_generalist,phi4,generalist,3,Feasible,1,20250731_172526
phi4_generalist2_01_20250731_172526,phi4_generalist2,phi4,generalist2,3,Feasible,1,20250731_172526
phi4_normative_01_20250731_172526,phi4_normative,phi4,normative,3,Feasible,1,20250731_172526
phi4_normative2_01_20250731_172526,phi4_normative2,phi4,normative2,3,Feasible,1,20250731_172526
phi4_subject_matter_01_20250731_172526,phi4_subject_matter,phi4,subject_matter,3,Feasible,1,20250731_172526
phi4_subject_matter2_01_20250731_172526,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,1,20250731_172526
phi4_generalist_02_20250731_173117,phi4_generalist,phi4,generalist,3,Feasible,2,20250731_173117
phi4_generalist2_02_20250731_173117,phi4_generalist2,phi4,generalist2,3,Feasible,2,20250731_173117
phi4_normative_02_20250731_173117,phi4_normative,phi4,normative,3,Feasible,2,20250731_173117
phi4_normative2_02_20250731_173117,phi4_normative2,phi4,normative2,3,Feasible,2,20250731_173117
phi4_subject_matter_02_20250731_173117,phi4_subject_matter,phi4,subject_matter,3,Feasible,2,20250731_173117
phi4_subject_matter2_02_20250731_173117,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,2,20250731_173117
phi4_generalist_03_20250731_234649,phi4_generalist,phi4,generalist,3,Feasible,3,20250731_234649
phi4_generalist2_03_20250731_234649,phi4_generalist2,phi4,generalist2,3,Feasible,3,20250731_234649
phi4_normative_03_20250731_234649,phi4_normative,phi4,normative,3,Feasible,3,20250731_234649
phi4_normative2_03_20250731_234649,phi4_normative2,phi4,normative2,3,Feasible,3,20250731_234649
phi4_subject_matter_03_20250731_234649,phi4_subject_matter,phi4,subject_matter,3,Feasible,3,20250731_234649
phi4_subject_matter2_03_20250731_234649,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,3,20250731_234649
phi4_generalist_04_20250731_234813,phi4_generalist,phi4,generalist,3,Feasible,4,20250731_234813
