row_id,base_model,variant_id,model,barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,bias_type,anchor_level
BIAS_WORD_phi4_generalist_00_b1_20250814_232951,phi4,phi4_generalist,generalist,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b2_20250814_232951,phi4,phi4_generalist,generalist,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b4_20250814_232951,phi4,phi4_generalist,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b8_20250814_232951,phi4,phi4_generalist,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist_00_b10_20250814_232951,phi4,phi4_generalist,generalist,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b1_20250814_232951,phi4,phi4_generalist2,generalist2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b2_20250814_232951,phi4,phi4_generalist2,generalist2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b4_20250814_232951,phi4,phi4_generalist2,generalist2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b8_20250814_232951,phi4,phi4_generalist2,generalist2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_generalist2_00_b10_20250814_232951,phi4,phi4_generalist2,generalist2,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b1_20250814_232951,phi4,phi4_normative,normative,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b4_20250814_232951,phi4,phi4_normative,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b6_20250814_232951,phi4,phi4_normative,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b8_20250814_232951,phi4,phi4_normative,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative_00_b10_20250814_232951,phi4,phi4_normative,normative,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b1_20250814_232951,phi4,phi4_normative2,normative2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b4_20250814_232951,phi4,phi4_normative2,normative2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b6_20250814_232951,phi4,phi4_normative2,normative2,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b10_20250814_232951,phi4,phi4_normative2,normative2,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_normative2_00_b11_20250814_232951,phi4,phi4_normative2,normative2,11,high costs of DC solutions,high costs of DC solutions,matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter_00_b1_20250814_232951,phi4,phi4_subject_matter,subject_matter,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter_00_b2_20250814_232951,phi4,phi4_subject_matter,subject_matter,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter_00_b3_20250814_232951,phi4,phi4_subject_matter,subject_matter,3,lack of pilot projects,lack of pilot projects,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter_00_b4_20250814_232951,phi4,phi4_subject_matter,subject_matter,4,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter_00_b5_20250814_232951,phi4,phi4_subject_matter,subject_matter,5,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter2_00_b1_20250814_232951,phi4,phi4_subject_matter2,subject_matter2,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter2_00_b2_20250814_232951,phi4,phi4_subject_matter2,subject_matter2,2,incompatibility of DC systems components,incompatibility of DC systems components,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter2_00_b3_20250814_232951,phi4,phi4_subject_matter2,subject_matter2,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter2_00_b4_20250814_232951,phi4,phi4_subject_matter2,subject_matter2,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_phi4_subject_matter2_00_b5_20250814_232951,phi4,phi4_subject_matter2,subject_matter2,5,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,wrong_id_matchable,False,1.0,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b1_20250814_232951,llama,llama_generalist,generalist,1,"power losses, quality and safety issues","Power losses, quality, and safety issues (4)",matched,correct_id,False,0.94,0,20250814_232951,no,BIASED,BIAS_WORD,
BIAS_WORD_llama_generalist_00_b2_20250814_232951,llama,llama_generalist,generalist,2,reduced reliability in DC devices,Reduced reliability in DC devices (3),matched,correct_id,False,0.943,0,20250814_232951,no,BIASED,BIAS_WORD,
