row_id,barrier_id,official_label,condition,source,iteration,timestamp,base_model,respondent_id,variant_id,model,label
he03_s1,1,"power losses, quality and safety issues",,human,,,human,he03,he03,,
he08_s1,1,"power losses, quality and safety issues",,human,,,human,he08,he08,,
he09_s1,1,"power losses, quality and safety issues",,human,,,human,he09,he09,,
he19_s2,1,"power losses, quality and safety issues",,human,,,human,he19,he19,,
he20_s2,1,"power losses, quality and safety issues",,human,,,human,he20,he20,,
he22_s2,1,"power losses, quality and safety issues",,human,,,human,he22,he22,,
he23_s2,1,"power losses, quality and safety issues",,human,,,human,he23,he23,,
he01_s1,2,reduced reliability in DC devices,,human,,,human,he01,he01,,
he17_s2,2,reduced reliability in DC devices,,human,,,human,he17,he17,,
he20_s2,2,reduced reliability in DC devices,,human,,,human,he20,he20,,
he21_s2,2,reduced reliability in DC devices,,human,,,human,he21,he21,,
he02_s1,3,lack of use-cases in which DC is advantageous,,human,,,human,he02,he02,,
he06_s1,3,lack of use-cases in which DC is advantageous,,human,,,human,he06,he06,,
he15_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he15,he15,,
he17_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he17,he17,,
he18_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he18,he18,,
he20_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he20,he20,,
he22_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he22,he22,,
he23_s2,3,lack of use-cases in which DC is advantageous,,human,,,human,he23,he23,,
he02_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he02,he02,,
he03_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he03,he03,,
he05_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he05,he05,,
he06_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he06,he06,,
he08_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he08,he08,,
he09_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he09,he09,,
he12_s1,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he12,he12,,
he15_s2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he15,he15,,
he16_s2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he16,he16,,
he20_s2,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,human,,,human,he20,he20,,
he02_s1,5,lack of pilot projects,,human,,,human,he02,he02,,
he04_s1,5,lack of pilot projects,,human,,,human,he04,he04,,
he08_s1,5,lack of pilot projects,,human,,,human,he08,he08,,
he10_s1,5,lack of pilot projects,,human,,,human,he10,he10,,
he14_s2,5,lack of pilot projects,,human,,,human,he14,he14,,
he16_s2,5,lack of pilot projects,,human,,,human,he16,he16,,
he18_s2,5,lack of pilot projects,,human,,,human,he18,he18,,
he21_s2,5,lack of pilot projects,,human,,,human,he21,he21,,
he05_s1,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he05,he05,,
he07_s1,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he07,he07,,
he09_s1,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he09,he09,,
he11_s1,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he11,he11,,
he12_s1,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he12,he12,,
he13_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he13,he13,,
he17_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he17,he17,,
he18_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he18,he18,,
he19_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he19,he19,,
he21_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he21,he21,,
he23_s2,6,public perception of DC and readiness to 'champion' installations from DC projects,,human,,,human,he23,he23,,
he10_s1,7,incompatibility of DC systems components,,human,,,human,he10,he10,,
he11_s1,7,incompatibility of DC systems components,,human,,,human,he11,he11,,
he14_s2,7,incompatibility of DC systems components,,human,,,human,he14,he14,,
he22_s2,7,incompatibility of DC systems components,,human,,,human,he22,he22,,
he02_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he02,he02,,
he03_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he03,he03,,
he04_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he04,he04,,
he05_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he05,he05,,
he07_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he07,he07,,
he11_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he11,he11,,
he12_s1,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he12,he12,,
he13_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he13,he13,,
he14_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he14,he14,,
he15_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he15,he15,,
he16_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he16,he16,,
he19_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he19,he19,,
he21_s2,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,human,,,human,he21,he21,,
he01_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he01,he01,,
he03_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he03,he03,,
he04_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he04,he04,,
he06_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he06,he06,,
he07_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he07,he07,,
he09_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he09,he09,,
he10_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he10,he10,,
he11_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he11,he11,,
he12_s1,9,lack of enough trained personnel in DC systems,,human,,,human,he12,he12,,
he13_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he13,he13,,
he14_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he14,he14,,
he15_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he15,he15,,
he16_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he16,he16,,
he17_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he17,he17,,
he18_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he18,he18,,
he19_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he19,he19,,
he23_s2,9,lack of enough trained personnel in DC systems,,human,,,human,he23,he23,,
he04_s1,10,uncertain regulatory roadmap,,human,,,human,he04,he04,,
he06_s1,10,uncertain regulatory roadmap,,human,,,human,he06,he06,,
he07_s1,10,uncertain regulatory roadmap,,human,,,human,he07,he07,,
he08_s1,10,uncertain regulatory roadmap,,human,,,human,he08,he08,,
he09_s1,10,uncertain regulatory roadmap,,human,,,human,he09,he09,,
he10_s1,10,uncertain regulatory roadmap,,human,,,human,he10,he10,,
he13_s2,10,uncertain regulatory roadmap,,human,,,human,he13,he13,,
he14_s2,10,uncertain regulatory roadmap,,human,,,human,he14,he14,,
he15_s2,10,uncertain regulatory roadmap,,human,,,human,he15,he15,,
he16_s2,10,uncertain regulatory roadmap,,human,,,human,he16,he16,,
he18_s2,10,uncertain regulatory roadmap,,human,,,human,he18,he18,,
he19_s2,10,uncertain regulatory roadmap,,human,,,human,he19,he19,,
he20_s2,10,uncertain regulatory roadmap,,human,,,human,he20,he20,,
he23_s2,10,uncertain regulatory roadmap,,human,,,human,he23,he23,,
he01_s1,11,high costs of DC solutions,,human,,,human,he01,he01,,
he03_s1,11,high costs of DC solutions,,human,,,human,he03,he03,,
he04_s1,11,high costs of DC solutions,,human,,,human,he04,he04,,
he05_s1,11,high costs of DC solutions,,human,,,human,he05,he05,,
he06_s1,11,high costs of DC solutions,,human,,,human,he06,he06,,
he07_s1,11,high costs of DC solutions,,human,,,human,he07,he07,,
he08_s1,11,high costs of DC solutions,,human,,,human,he08,he08,,
he10_s1,11,high costs of DC solutions,,human,,,human,he10,he10,,
he11_s1,11,high costs of DC solutions,,human,,,human,he11,he11,,
he13_s2,11,high costs of DC solutions,,human,,,human,he13,he13,,
he17_s2,11,high costs of DC solutions,,human,,,human,he17,he17,,
he21_s2,11,high costs of DC solutions,,human,,,human,he21,he21,,
he22_s2,11,high costs of DC solutions,,human,,,human,he22,he22,,
