row_id,variant_id,base_model,model,rating,label,condition,iteration
llama_generalist_00_20260630_153019,llama_generalist,llama,generalist,4,Very feasible,context,0
llama_normative_00_20260630_153019,llama_normative,llama,normative,2,Somewhat feasible,context,0
llama_subject-matter_00_20260630_153019,llama_subject-matter,llama,subject-matter,4,Very feasible,context,0
mistral_generalist_00_20260630_153019,mistral_generalist,mistral,generalist,3,Feasible,context,0
mistral_normative_00_20260630_153019,mistral_normative,mistral,normative,3,Feasible,context,0
mistral_subject-matter_00_20260630_153019,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,0
gemma3_generalist_00_20260630_153019,gemma3_generalist,gemma3,generalist,3,Feasible,context,0
gemma3_normative_00_20260630_153019,gemma3_normative,gemma3,normative,3,Feasible,context,0
gemma3_subject-matter_00_20260630_153019,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,0
phi4_generalist_00_20260630_153019,phi4_generalist,phi4,generalist,3,Feasible,context,0
phi4_normative_00_20260630_153019,phi4_normative,phi4,normative,3,Feasible,context,0
phi4_subject-matter_00_20260630_153019,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,0
llama_generalist_01_20260630_153327,llama_generalist,llama,generalist,4,Very feasible,context,1
llama_normative_01_20260630_153327,llama_normative,llama,normative,3,Feasible,context,1
llama_subject-matter_01_20260630_153327,llama_subject-matter,llama,subject-matter,3,Feasible,context,1
mistral_generalist_01_20260630_153327,mistral_generalist,mistral,generalist,3,Feasible,context,1
mistral_normative_01_20260630_153327,mistral_normative,mistral,normative,3,Feasible,context,1
mistral_subject-matter_01_20260630_153327,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,1
gemma3_generalist_01_20260630_153327,gemma3_generalist,gemma3,generalist,3,Feasible,context,1
gemma3_normative_01_20260630_153327,gemma3_normative,gemma3,normative,3,Feasible,context,1
gemma3_subject-matter_01_20260630_153327,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,1
phi4_generalist_01_20260630_153327,phi4_generalist,phi4,generalist,3,Feasible,context,1
phi4_normative_01_20260630_153327,phi4_normative,phi4,normative,3,Feasible,context,1
phi4_subject-matter_01_20260630_153327,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,1
llama_generalist_02_20260630_153513,llama_generalist,llama,generalist,2,Somewhat feasible,context,2
llama_normative_02_20260630_153513,llama_normative,llama,normative,3,Feasible,context,2
llama_subject-matter_02_20260630_153513,llama_subject-matter,llama,subject-matter,4,Very feasible,context,2
mistral_generalist_02_20260630_153513,mistral_generalist,mistral,generalist,3,Feasible,context,2
mistral_normative_02_20260630_153513,mistral_normative,mistral,normative,3,Feasible,context,2
mistral_subject-matter_02_20260630_153513,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,2
gemma3_generalist_02_20260630_153513,gemma3_generalist,gemma3,generalist,3,Feasible,context,2
gemma3_normative_02_20260630_153513,gemma3_normative,gemma3,normative,3,Feasible,context,2
gemma3_subject-matter_02_20260630_153513,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,2
phi4_generalist_02_20260630_153513,phi4_generalist,phi4,generalist,3,Feasible,context,2
phi4_normative_02_20260630_153513,phi4_normative,phi4,normative,3,Feasible,context,2
phi4_subject-matter_02_20260630_153513,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,2
llama_generalist_03_20260630_153706,llama_generalist,llama,generalist,3,Feasible,context,3
llama_normative_03_20260630_153706,llama_normative,llama,normative,4,Very feasible,context,3
llama_subject-matter_03_20260630_153706,llama_subject-matter,llama,subject-matter,1,Not feasible,context,3
mistral_generalist_03_20260630_153706,mistral_generalist,mistral,generalist,3,Feasible,context,3
mistral_normative_03_20260630_153706,mistral_normative,mistral,normative,3,Feasible,context,3
mistral_subject-matter_03_20260630_153706,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,3
gemma3_generalist_03_20260630_153706,gemma3_generalist,gemma3,generalist,3,Feasible,context,3
gemma3_normative_03_20260630_153706,gemma3_normative,gemma3,normative,3,Feasible,context,3
gemma3_subject-matter_03_20260630_153706,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,3
phi4_generalist_03_20260630_153706,phi4_generalist,phi4,generalist,3,Feasible,context,3
phi4_normative_03_20260630_153706,phi4_normative,phi4,normative,3,Feasible,context,3
phi4_subject-matter_03_20260630_153706,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,3
llama_generalist_04_20260630_153903,llama_generalist,llama,generalist,3,Feasible,context,4
llama_normative_04_20260630_153903,llama_normative,llama,normative,4,Very feasible,context,4
llama_subject-matter_04_20260630_153903,llama_subject-matter,llama,subject-matter,3,Feasible,context,4
mistral_generalist_04_20260630_153903,mistral_generalist,mistral,generalist,3,Feasible,context,4
mistral_normative_04_20260630_153903,mistral_normative,mistral,normative,3,Feasible,context,4
mistral_subject-matter_04_20260630_153903,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,4
gemma3_generalist_04_20260630_153903,gemma3_generalist,gemma3,generalist,3,Feasible,context,4
gemma3_normative_04_20260630_153903,gemma3_normative,gemma3,normative,3,Feasible,context,4
