pair_id,n_zeroshot,n_context,complete_pair
gemma3_generalist.0,1,1,TRUE
gemma3_normative.0,1,1,TRUE
gemma3_subject-matter.0,1,1,TRUE
llama_generalist.0,1,1,TRUE
llama_normative.0,1,1,TRUE
llama_subject-matter.0,1,1,TRUE
mistral_generalist.0,1,1,TRUE
mistral_normative.0,1,1,TRUE
mistral_subject-matter.0,1,1,TRUE
phi4_generalist.0,1,1,TRUE
phi4_normative.0,1,1,TRUE
phi4_subject-matter.0,1,1,TRUE
gemma3_generalist.1,1,1,TRUE
gemma3_normative.1,1,1,TRUE
gemma3_subject-matter.1,1,1,TRUE
llama_generalist.1,1,1,TRUE
llama_normative.1,1,1,TRUE
llama_subject-matter.1,1,1,TRUE
mistral_generalist.1,1,1,TRUE
mistral_normative.1,1,1,TRUE
mistral_subject-matter.1,1,1,TRUE
phi4_generalist.1,1,1,TRUE
phi4_normative.1,1,1,TRUE
phi4_subject-matter.1,1,1,TRUE
gemma3_generalist.2,1,1,TRUE
gemma3_normative.2,1,1,TRUE
gemma3_subject-matter.2,1,1,TRUE
llama_generalist.2,1,1,TRUE
llama_normative.2,1,1,TRUE
llama_subject-matter.2,1,1,TRUE
mistral_generalist.2,1,1,TRUE
mistral_normative.2,1,1,TRUE
mistral_subject-matter.2,1,1,TRUE
phi4_generalist.2,1,1,TRUE
phi4_normative.2,1,1,TRUE
phi4_subject-matter.2,1,1,TRUE
gemma3_generalist.3,1,1,TRUE
gemma3_normative.3,1,1,TRUE
gemma3_subject-matter.3,1,1,TRUE
llama_generalist.3,1,1,TRUE
llama_normative.3,1,1,TRUE
llama_subject-matter.3,1,1,TRUE
mistral_generalist.3,1,1,TRUE
mistral_normative.3,1,1,TRUE
mistral_subject-matter.3,1,1,TRUE
phi4_generalist.3,1,1,TRUE
phi4_normative.3,1,1,TRUE
phi4_subject-matter.3,1,1,TRUE
gemma3_generalist.4,1,1,TRUE
gemma3_normative.4,1,1,TRUE
gemma3_subject-matter.4,1,1,TRUE
llama_generalist.4,1,1,TRUE
llama_normative.4,1,1,TRUE
llama_subject-matter.4,1,1,TRUE
mistral_generalist.4,1,1,TRUE
mistral_normative.4,1,1,TRUE
mistral_subject-matter.4,1,1,TRUE
phi4_generalist.4,1,1,TRUE
phi4_normative.4,1,1,TRUE
phi4_subject-matter.4,1,1,TRUE
gemma3_generalist.5,1,1,TRUE
gemma3_normative.5,1,1,TRUE
gemma3_subject-matter.5,1,1,TRUE
llama_generalist.5,1,1,TRUE
llama_normative.5,1,1,TRUE
llama_subject-matter.5,1,1,TRUE
mistral_generalist.5,1,1,TRUE
mistral_normative.5,1,1,TRUE
mistral_subject-matter.5,1,1,TRUE
phi4_generalist.5,1,1,TRUE
phi4_normative.5,1,1,TRUE
phi4_subject-matter.5,1,1,TRUE
gemma3_generalist.6,1,1,TRUE
gemma3_normative.6,1,1,TRUE
gemma3_subject-matter.6,1,1,TRUE
llama_generalist.6,1,1,TRUE
llama_normative.6,1,1,TRUE
llama_subject-matter.6,1,1,TRUE
mistral_generalist.6,1,1,TRUE
mistral_normative.6,1,1,TRUE
mistral_subject-matter.6,1,1,TRUE
phi4_generalist.6,1,1,TRUE
phi4_normative.6,1,1,TRUE
phi4_subject-matter.6,1,1,TRUE
gemma3_generalist.7,1,1,TRUE
gemma3_normative.7,1,1,TRUE
gemma3_subject-matter.7,1,1,TRUE
llama_generalist.7,1,1,TRUE
llama_normative.7,1,1,TRUE
llama_subject-matter.7,1,1,TRUE
mistral_generalist.7,1,1,TRUE
mistral_normative.7,1,1,TRUE
mistral_subject-matter.7,1,1,TRUE
phi4_generalist.7,1,1,TRUE
phi4_normative.7,1,1,TRUE
phi4_subject-matter.7,1,1,TRUE
gemma3_generalist.8,1,1,TRUE
gemma3_normative.8,1,1,TRUE
gemma3_subject-matter.8,1,1,TRUE
llama_generalist.8,1,1,TRUE
llama_normative.8,1,1,TRUE
