row_id,base_model,variant_id,model,barrier_id,model_barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,iteration,timestamp,truncated
generalist_llama_00_b1,llama,generalist_llama,generalist,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,0,20260701_000426,no
generalist_llama_00_b2,llama,generalist_llama,generalist,2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,0,20260701_000426,no
generalist_llama_00_b3,llama,generalist_llama,generalist,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,0,20260701_000426,no
generalist_llama_00_b4,llama,generalist_llama,generalist,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20260701_000426,no
generalist_llama_00_b5,llama,generalist_llama,generalist,5,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,0,20260701_000426,no
normative_llama_00_b1,llama,normative_llama,normative,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,0,20260701_000426,no
normative_llama_00_b2,llama,normative_llama,normative,2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,0,20260701_000426,no
normative_llama_00_b4,llama,normative_llama,normative,4,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,0,20260701_000426,no
normative_llama_00_b3,llama,normative_llama,normative,3,4,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,corrected_from_label,False,0,20260701_000426,no
normative_llama_00_b6,llama,normative_llama,normative,6,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,corrected_from_label,False,0,20260701_000426,no
subject-matter_llama_00_b1,llama,subject-matter_llama,subject-matter,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,0,20260701_000426,no
subject-matter_llama_00_b2,llama,subject-matter_llama,subject-matter,2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,0,20260701_000426,no
subject-matter_llama_00_b3,llama,subject-matter_llama,subject-matter,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,0,20260701_000426,no
subject-matter_llama_00_b4,llama,subject-matter_llama,subject-matter,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,0,20260701_000426,no
