row_id,base_model,variant_id,model,barrier_id,model_barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,anchor_type,anchor_level
ANCHOR_WORD_phi4_generalist_00_b1_20260703_075506,phi4,phi4_generalist,generalist,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_00_b4_20260703_075506,phi4,phi4_generalist,generalist,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_00_b5_20260703_075506,phi4,phi4_generalist,generalist,5,3,lack of pilot projects,lack of pilot projects,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_00_b8_20260703_075506,phi4,phi4_generalist,generalist,8,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_00_b10_20260703_075506,phi4,phi4_generalist,generalist,10,5,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_00_b1_20260703_075506,phi4,phi4_normative,normative,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_00_b4_20260703_075506,phi4,phi4_normative,normative,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_00_b5_20260703_075506,phi4,phi4_normative,normative,5,3,lack of pilot projects,lack of pilot projects,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_00_b8_20260703_075506,phi4,phi4_normative,normative,8,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_00_b10_20260703_075506,phi4,phi4_normative,normative,10,5,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_00_b1_20260703_075506,phi4,phi4_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
