base_model,model,variant_id,iteration,condition,bias_type,anchor_level,rating,label,scenario,rating_ord,id_key
phi4,generalist,phi4_generalist,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,0,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,1,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,2,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,3,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,4,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,5,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,6,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
