row_id,variant_id,base_model,model,rating,label,iteration,timestamp,source
llama-pro_generalist_00_20250617_185210,llama-pro_generalist,llama-pro,generalist,3,Feasible,0,20250617_185210,llm
llama-pro_generalist2_00_20250617_185210,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,0,20250617_185210,llm
llama-pro_normative_00_20250617_185210,llama-pro_normative,llama-pro,normative,3,Feasible,0,20250617_185210,llm
llama-pro_normative2_00_20250617_185210,llama-pro_normative2,llama-pro,normative2,3,Feasible,0,20250617_185210,llm
llama-pro_subject_matter_00_20250617_185210,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,0,20250617_185210,llm
llama-pro_subject_matter2_00_20250617_185210,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,0,20250617_185210,llm
llama-pro_generalist_01_20250617_185251,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,1,20250617_185251,llm
llama-pro_generalist2_01_20250617_185251,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,1,20250617_185251,llm
llama-pro_normative_01_20250617_185251,llama-pro_normative,llama-pro,normative,3,Feasible,1,20250617_185251,llm
llama-pro_normative2_01_20250617_185251,llama-pro_normative2,llama-pro,normative2,3,Feasible,1,20250617_185251,llm
llama-pro_subject_matter_01_20250617_185251,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,1,20250617_185251,llm
llama-pro_subject_matter2_01_20250617_185251,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,1,20250617_185251,llm
llama-pro_generalist_02_20250617_185320,llama-pro_generalist,llama-pro,generalist,3,Feasible,2,20250617_185320,llm
llama-pro_generalist2_02_20250617_185320,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,2,20250617_185320,llm
llama-pro_normative_02_20250617_185320,llama-pro_normative,llama-pro,normative,3,Feasible,2,20250617_185320,llm
llama-pro_normative2_02_20250617_185320,llama-pro_normative2,llama-pro,normative2,4,Very feasible,2,20250617_185320,llm
