row_id,variant_id,base_model,source,model,rating,label,iteration,condition
he01_s1,he01,human,human,s1,3,feasible,,zeroshot
he02_s1,he02,human,human,s1,3,feasible,,zeroshot
he03_s1,he03,human,human,s1,3,feasible,,zeroshot
he04_s1,he04,human,human,s1,4,very feasible,,zeroshot
he05_s1,he05,human,human,s1,4,very feasible,,zeroshot
he06_s1,he06,human,human,s1,3,feasible,,zeroshot
he07_s1,he07,human,human,s1,3,feasible,,zeroshot
he08_s1,he08,human,human,s1,3,feasible,,zeroshot
he09_s1,he09,human,human,s1,3,feasible,,zeroshot
he10_s1,he10,human,human,s1,3,feasible,,zeroshot
he11_s1,he11,human,human,s1,3,feasible,,zeroshot
he12_s2,he13,human,human,s2,4,very feasible,,zeroshot
he13_s2,he14,human,human,s2,3,feasible,,zeroshot
he14_s2,he15,human,human,s2,4,very feasible,,zeroshot
he15_s2,he16,human,human,s2,4,very feasible,,zeroshot
he18_s2,he17,human,human,s2,3,feasible,,zeroshot
he19_s2,he18,human,human,s2,3,feasible,,zeroshot
he20_s2,he19,human,human,s2,3,feasible,,zeroshot
he21_s2,he20,human,human,s2,3,feasible,,zeroshot
he22_s2,he21,human,human,s2,3,feasible,,zeroshot
he23_s2,he22,human,human,s2,3,feasible,,zeroshot
he24_s2,he23,human,human,s2,4,very feasible,,zeroshot
phi4_generalist_00_20260628_224056,phi4_generalist,phi4,llm,generalist,3,Feasible,0,zeroshot
phi4_normative_00_20260628_224056,phi4_normative,phi4,llm,normative,3,Feasible,0,zeroshot
phi4_subject-matter_00_20260628_224056,phi4_subject-matter,phi4,llm,subject-matter,4,Very feasible,0,zeroshot
gemma3_generalist_00_20260628_224056,gemma3_generalist,gemma3,llm,generalist,3,Feasible,0,zeroshot
gemma3_normative_00_20260628_224056,gemma3_normative,gemma3,llm,normative,3,Feasible,0,zeroshot
gemma3_subject-matter_00_20260628_224056,gemma3_subject-matter,gemma3,llm,subject-matter,3,Feasible,0,zeroshot
llama_generalist_00_20260628_224056,llama_generalist,llama,llm,generalist,2,Somewhat feasible,0,zeroshot
llama_normative_00_20260628_224056,llama_normative,llama,llm,normative,3,Feasible,0,zeroshot
