row_id,variant_id,base_model,source,model,dc_solution,rating,label,iteration,condition
he01_cables,he01,human,human,s1,Smart and sustainable DC cables,3,important,,zeroshot
he01_connectors,he01,human,human,s1,DC connectors,3,important,,zeroshot
he01_staticProtection,he01,human,human,s1,Static protection system,4,very important,,zeroshot
he01_circuitBreaker,he01,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he01_protectionDesign,he01,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he01_converter,he01,human,human,s1,DC-DC converter,4,very important,,zeroshot
he01_measurementDevice,he01,human,human,s1,DC measurement device,4,very important,,zeroshot
he01_interlink,he01,human,human,s1,LVAC-LVDC interlink converter,3,important,,zeroshot
he01_solutionDesign,he01,human,human,s1,DC solution design tool,4,very important,,zeroshot
he02_connectors,he02,human,human,s1,DC connectors,4,very important,,zeroshot
he02_cables,he02,human,human,s1,Smart and sustainable DC cables,2,somewhat important,,zeroshot
he02_staticProtection,he02,human,human,s1,Static protection system,4,very important,,zeroshot
he02_circuitBreaker,he02,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he02_protectionDesign,he02,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he02_measurementDevice,he02,human,human,s1,DC measurement device,3,important,,zeroshot
he02_converter,he02,human,human,s1,DC-DC converter,3,important,,zeroshot
he02_interlink,he02,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he02_solutionDesign,he02,human,human,s1,DC solution design tool,3,important,,zeroshot
he03_connectors,he03,human,human,s1,DC connectors,4,very important,,zeroshot
he03_cables,he03,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he03_staticProtection,he03,human,human,s1,Static protection system,4,very important,,zeroshot
he03_circuitBreaker,he03,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he03_protectionDesign,he03,human,human,s1,Protection DC system design tool,3,important,,zeroshot
he03_measurementDevice,he03,human,human,s1,DC measurement device,3,important,,zeroshot
he03_converter,he03,human,human,s1,DC-DC converter,4,very important,,zeroshot
he03_interlink,he03,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he03_solutionDesign,he03,human,human,s1,DC solution design tool,4,very important,,zeroshot
he04_connectors,he04,human,human,s1,DC connectors,4,very important,,zeroshot
he04_cables,he04,human,human,s1,Smart and sustainable DC cables,3,important,,zeroshot
he04_staticProtection,he04,human,human,s1,Static protection system,4,very important,,zeroshot
he04_circuitBreaker,he04,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he04_protectionDesign,he04,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he04_measurementDevice,he04,human,human,s1,DC measurement device,3,important,,zeroshot
he04_converter,he04,human,human,s1,DC-DC converter,4,very important,,zeroshot
he04_interlink,he04,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he04_solutionDesign,he04,human,human,s1,DC solution design tool,4,very important,,zeroshot
he05_connectors,he05,human,human,s1,DC connectors,4,very important,,zeroshot
he05_cables,he05,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he05_staticProtection,he05,human,human,s1,Static protection system,4,very important,,zeroshot
he05_circuitBreaker,he05,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he05_protectionDesign,he05,human,human,s1,Protection DC system design tool,3,important,,zeroshot
he05_converter,he05,human,human,s1,DC-DC converter,4,very important,,zeroshot
he05_measurementDevice,he05,human,human,s1,DC measurement device,3,important,,zeroshot
he05_interlink,he05,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he05_solutionDesign,he05,human,human,s1,DC solution design tool,4,very important,,zeroshot
he06_connectors,he06,human,human,s1,DC connectors,3,important,,zeroshot
he06_cables,he06,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he06_staticProtection,he06,human,human,s1,Static protection system,4,very important,,zeroshot
he06_circuitBreaker,he06,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he06_protectionDesign,he06,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
