row_id,variant_id,base_model,source,model,barrier_id,official_label,label,iteration
he03_s1,he03,human,human,,1,"power losses, quality and safety issues",,
he08_s1,he08,human,human,,1,"power losses, quality and safety issues",,
he09_s1,he09,human,human,,1,"power losses, quality and safety issues",,
he19_s2,he19,human,human,,1,"power losses, quality and safety issues",,
he20_s2,he20,human,human,,1,"power losses, quality and safety issues",,
he22_s2,he22,human,human,,1,"power losses, quality and safety issues",,
he23_s2,he23,human,human,,1,"power losses, quality and safety issues",,
he01_s1,he01,human,human,,2,reduced reliability in DC devices,,
he17_s2,he17,human,human,,2,reduced reliability in DC devices,,
he20_s2,he20,human,human,,2,reduced reliability in DC devices,,
he21_s2,he21,human,human,,2,reduced reliability in DC devices,,
he02_s1,he02,human,human,,3,lack of use-cases in which DC is advantageous,,
he06_s1,he06,human,human,,3,lack of use-cases in which DC is advantageous,,
he15_s2,he15,human,human,,3,lack of use-cases in which DC is advantageous,,
he17_s2,he17,human,human,,3,lack of use-cases in which DC is advantageous,,
he18_s2,he18,human,human,,3,lack of use-cases in which DC is advantageous,,
he20_s2,he20,human,human,,3,lack of use-cases in which DC is advantageous,,
he22_s2,he22,human,human,,3,lack of use-cases in which DC is advantageous,,
he23_s2,he23,human,human,,3,lack of use-cases in which DC is advantageous,,
he02_s1,he02,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he03_s1,he03,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he05_s1,he05,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he06_s1,he06,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he08_s1,he08,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he09_s1,he09,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he12_s1,he12,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he15_s2,he15,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he16_s2,he16,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he20_s2,he20,human,human,,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,
he02_s1,he02,human,human,,5,lack of pilot projects,,
he04_s1,he04,human,human,,5,lack of pilot projects,,
he08_s1,he08,human,human,,5,lack of pilot projects,,
he10_s1,he10,human,human,,5,lack of pilot projects,,
he14_s2,he14,human,human,,5,lack of pilot projects,,
he16_s2,he16,human,human,,5,lack of pilot projects,,
he18_s2,he18,human,human,,5,lack of pilot projects,,
he21_s2,he21,human,human,,5,lack of pilot projects,,
he05_s1,he05,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he07_s1,he07,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he09_s1,he09,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he11_s1,he11,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he12_s1,he12,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he13_s2,he13,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he17_s2,he17,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he18_s2,he18,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he19_s2,he19,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he21_s2,he21,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he23_s2,he23,human,human,,6,public perception of DC and readiness to 'champion' installations from DC projects,,
he10_s1,he10,human,human,,7,incompatibility of DC systems components,,
he11_s1,he11,human,human,,7,incompatibility of DC systems components,,
he14_s2,he14,human,human,,7,incompatibility of DC systems components,,
he22_s2,he22,human,human,,7,incompatibility of DC systems components,,
he02_s1,he02,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he03_s1,he03,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he04_s1,he04,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he05_s1,he05,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he07_s1,he07,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he11_s1,he11,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he12_s1,he12,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he13_s2,he13,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he14_s2,he14,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he15_s2,he15,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he16_s2,he16,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he19_s2,he19,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he21_s2,he21,human,human,,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,
he01_s1,he01,human,human,,9,lack of enough trained personnel in DC systems,,
he03_s1,he03,human,human,,9,lack of enough trained personnel in DC systems,,
he04_s1,he04,human,human,,9,lack of enough trained personnel in DC systems,,
he06_s1,he06,human,human,,9,lack of enough trained personnel in DC systems,,
he07_s1,he07,human,human,,9,lack of enough trained personnel in DC systems,,
he09_s1,he09,human,human,,9,lack of enough trained personnel in DC systems,,
he10_s1,he10,human,human,,9,lack of enough trained personnel in DC systems,,
he11_s1,he11,human,human,,9,lack of enough trained personnel in DC systems,,
he12_s1,he12,human,human,,9,lack of enough trained personnel in DC systems,,
he13_s2,he13,human,human,,9,lack of enough trained personnel in DC systems,,
he14_s2,he14,human,human,,9,lack of enough trained personnel in DC systems,,
he15_s2,he15,human,human,,9,lack of enough trained personnel in DC systems,,
he16_s2,he16,human,human,,9,lack of enough trained personnel in DC systems,,
he17_s2,he17,human,human,,9,lack of enough trained personnel in DC systems,,
he18_s2,he18,human,human,,9,lack of enough trained personnel in DC systems,,
he19_s2,he19,human,human,,9,lack of enough trained personnel in DC systems,,
he23_s2,he23,human,human,,9,lack of enough trained personnel in DC systems,,
he04_s1,he04,human,human,,10,uncertain regulatory roadmap,,
he06_s1,he06,human,human,,10,uncertain regulatory roadmap,,
he07_s1,he07,human,human,,10,uncertain regulatory roadmap,,
he08_s1,he08,human,human,,10,uncertain regulatory roadmap,,
he09_s1,he09,human,human,,10,uncertain regulatory roadmap,,
he10_s1,he10,human,human,,10,uncertain regulatory roadmap,,
he13_s2,he13,human,human,,10,uncertain regulatory roadmap,,
he14_s2,he14,human,human,,10,uncertain regulatory roadmap,,
he15_s2,he15,human,human,,10,uncertain regulatory roadmap,,
he16_s2,he16,human,human,,10,uncertain regulatory roadmap,,
he18_s2,he18,human,human,,10,uncertain regulatory roadmap,,
he19_s2,he19,human,human,,10,uncertain regulatory roadmap,,
he20_s2,he20,human,human,,10,uncertain regulatory roadmap,,
he23_s2,he23,human,human,,10,uncertain regulatory roadmap,,
he01_s1,he01,human,human,,11,high costs of DC solutions,,
he03_s1,he03,human,human,,11,high costs of DC solutions,,
he04_s1,he04,human,human,,11,high costs of DC solutions,,
he05_s1,he05,human,human,,11,high costs of DC solutions,,
he06_s1,he06,human,human,,11,high costs of DC solutions,,
he07_s1,he07,human,human,,11,high costs of DC solutions,,
he08_s1,he08,human,human,,11,high costs of DC solutions,,
he10_s1,he10,human,human,,11,high costs of DC solutions,,
he11_s1,he11,human,human,,11,high costs of DC solutions,,
he13_s2,he13,human,human,,11,high costs of DC solutions,,
he17_s2,he17,human,human,,11,high costs of DC solutions,,
he21_s2,he21,human,human,,11,high costs of DC solutions,,
he22_s2,he22,human,human,,11,high costs of DC solutions,,
phi4_generalist_00_b1,phi4_generalist,phi4,llm,generalist,1,"power losses, quality and safety issues",,0.0
phi4_generalist_00_b3,phi4_generalist,phi4,llm,generalist,3,lack of use-cases in which DC is advantageous,,0.0
phi4_generalist_00_b4,phi4_generalist,phi4,llm,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
phi4_generalist_00_b8,phi4_generalist,phi4,llm,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,0.0
phi4_generalist_00_b10,phi4_generalist,phi4,llm,generalist,10,uncertain regulatory roadmap,,0.0
phi4_normative_00_b1,phi4_normative,phi4,llm,normative,1,"power losses, quality and safety issues",,0.0
phi4_normative_00_b3,phi4_normative,phi4,llm,normative,3,lack of use-cases in which DC is advantageous,,0.0
phi4_normative_00_b4,phi4_normative,phi4,llm,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
phi4_normative_00_b5,phi4_normative,phi4,llm,normative,5,lack of pilot projects,,0.0
phi4_normative_00_b10,phi4_normative,phi4,llm,normative,10,uncertain regulatory roadmap,,0.0
phi4_subject-matter_00_b1,phi4_subject-matter,phi4,llm,subject-matter,1,"power losses, quality and safety issues",,0.0
phi4_subject-matter_00_b3,phi4_subject-matter,phi4,llm,subject-matter,3,lack of use-cases in which DC is advantageous,,0.0
phi4_subject-matter_00_b4,phi4_subject-matter,phi4,llm,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
phi4_subject-matter_00_b5,phi4_subject-matter,phi4,llm,subject-matter,5,lack of pilot projects,,0.0
phi4_subject-matter_00_b10,phi4_subject-matter,phi4,llm,subject-matter,10,uncertain regulatory roadmap,,0.0
gemma3_generalist_00_b1,gemma3_generalist,gemma3,llm,generalist,1,"power losses, quality and safety issues",,0.0
gemma3_generalist_00_b5,gemma3_generalist,gemma3,llm,generalist,5,lack of pilot projects,,0.0
gemma3_generalist_00_b6,gemma3_generalist,gemma3,llm,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,,0.0
gemma3_generalist_00_b9,gemma3_generalist,gemma3,llm,generalist,9,lack of enough trained personnel in DC systems,,0.0
gemma3_generalist_00_b11,gemma3_generalist,gemma3,llm,generalist,11,high costs of DC solutions,,0.0
gemma3_normative_00_b1,gemma3_normative,gemma3,llm,normative,1,"power losses, quality and safety issues",,0.0
gemma3_normative_00_b4,gemma3_normative,gemma3,llm,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
gemma3_normative_00_b8,gemma3_normative,gemma3,llm,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,0.0
gemma3_normative_00_b9,gemma3_normative,gemma3,llm,normative,9,lack of enough trained personnel in DC systems,,0.0
gemma3_normative_00_b11,gemma3_normative,gemma3,llm,normative,11,high costs of DC solutions,,0.0
gemma3_subject-matter_00_b1,gemma3_subject-matter,gemma3,llm,subject-matter,1,"power losses, quality and safety issues",,0.0
gemma3_subject-matter_00_b5,gemma3_subject-matter,gemma3,llm,subject-matter,5,lack of pilot projects,,0.0
gemma3_subject-matter_00_b4,gemma3_subject-matter,gemma3,llm,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
gemma3_subject-matter_00_b8,gemma3_subject-matter,gemma3,llm,subject-matter,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,,0.0
gemma3_subject-matter_00_b10,gemma3_subject-matter,gemma3,llm,subject-matter,10,uncertain regulatory roadmap,,0.0
llama_generalist_00_b1,llama_generalist,llama,llm,generalist,1,"power losses, quality and safety issues",,0.0
llama_generalist_00_b3,llama_generalist,llama,llm,generalist,3,lack of use-cases in which DC is advantageous,,0.0
llama_generalist_00_b4,llama_generalist,llama,llm,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
llama_generalist_00_b5,llama_generalist,llama,llm,generalist,5,lack of pilot projects,,0.0
llama_generalist_00_b6,llama_generalist,llama,llm,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,,0.0
llama_normative_00_b1,llama_normative,llama,llm,normative,1,"power losses, quality and safety issues",,0.0
llama_normative_00_b2,llama_normative,llama,llm,normative,2,reduced reliability in DC devices,,0.0
llama_normative_00_b3,llama_normative,llama,llm,normative,3,lack of use-cases in which DC is advantageous,,0.0
llama_normative_00_b4,llama_normative,llama,llm,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
llama_normative_00_b5,llama_normative,llama,llm,normative,5,lack of pilot projects,,0.0
llama_subject-matter_00_b1,llama_subject-matter,llama,llm,subject-matter,1,"power losses, quality and safety issues",,0.0
llama_subject-matter_00_b3,llama_subject-matter,llama,llm,subject-matter,3,lack of use-cases in which DC is advantageous,,0.0
llama_subject-matter_00_b4,llama_subject-matter,llama,llm,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",,0.0
